go .	行く 。
hi .	こんにちは 。
run !	走る ！
who ?	誰が ？
wow !	おお ！
fire !	火 ！
help !	ヘルプ ！
jump .	ジャンプ 。
stop !	停止 ！
wait !	待って ！
go on .	続けてください 。
hello !	こんにちは ！
i see .	なるほど 。
i try .	試してみます 。
i won !	私は勝ちました ！
i won .	私が勝ちました 。
oh no !	なんてこった ！
attack !	攻撃 ！
cheers !	乾杯 ！
get up .	起きる 。
go now .	今すぐ行きましょう 。
got it !	わかった ！
got it ?	わかった ？
hop in .	飛び込みます 。
hug me .	私を抱きしめて 。
i fell .	私は落ちた 。
i know .	知っている 。
i left .	私は去った 。
i lost .	負けました 。
i paid .	支払いました 。
i'm 19 .	私は19歳です 。
i'm ok .	私は大丈夫 。
listen .	聞く 。
no way !	とんでもない ！
really ?	本当に ？
thanks .	ありがとう 。
we try .	試してみます 。
we won .	私たちは勝ちました 。
ask tom .	トムに聞いてください 。
awesome !	素晴らしい ！
be calm .	落ち着いてください 。
be cool .	クールであってください 。
be fair .	公平であること 。
be kind .	親切にしてください 。
be nice .	よろしくね 。
beat it .	失せろ 。
call me .	電話してね 。
call us .	お電話ください 。
come in .	お入りください 。
come on !	来て ！
come on .	来て 。
drop it !	落としてください ！
get tom .	トムを入手します 。
get out !	出て行け ！
get out .	出て行け 。
go away !	どこかに行って ！
go away .	どこかに行って 。
go home .	家に帰れ 。
go slow .	ゆっくり行ってください 。
goodbye !	さようなら ！
hang on !	ちょっとまって ！
hang on .	ちょっとまって 。
he quit .	彼は辞めた 。
he runs .	彼は走ります 。
help me !	助けて ！
help me .	助けて 。
help us .	助けてください 。
hold it !	待ってください ！
hold on .	持続する 。
hug tom .	トムを抱きしめて 。
i agree .	同意します 。
i cried .	私は泣いた 。
i dozed .	居眠りしてしまいました 。
i drive .	私は運転します 。
i smoke .	私は喫煙します 。
i snore .	いびきをかきます 。
i stink .	臭いです 。
i stood .	私は立っていた 。
i swore .	私は誓った 。
i tried .	私は試した 。
i waved .	私は手を振った 。
i'll go .	行きます 。
i'm tom .	私はトムです 。
i'm fat .	私は太っています 。
i'm fit .	私は元気です 。
i'm hit !	当たってるよ ！
i'm ill .	私は病気です 。
i'm sad .	私は悲しいです 。
i'm shy .	恥ずかしいです 。
i'm wet .	濡れています 。
it's me !	それは私です ！
